Source,Dest,Weight
CAPILLARY INTERMEDIATE   ,IGSF21+ DENDRITIC        ,0.03354334458708763
MULTICILIATED (NASAL)    ,SMG SEROUS (BRONCHIAL)   ,0.03352779895067215
NONCLASSICAL MONOCYTE    ,IONOCYTE                 ,0.03352732956409454
MYELOID                  ,CAPILLARY                ,0.03352169319987297
SMOOTH MUSCLE            ,ALVEOLAR EPITHELIAL TYPE 1,0.03351565822958946
TREM2+ DENDRITIC         ,SIGNALING ALVEOLAR EPITHELIAL TYPE 2,0.033504318445920944
DENDRITIC                ,NK CELLS                 ,0.0334889255464077
DENDRITIC                ,OLR1+ CLASSICAL MONOCYTE ,0.03347890079021454
MULTICILIATED            ,CD8 T                    ,0.033478349447250366
MONOCYTES                ,CAPILLARY                ,0.03346341475844383
POSITIVE                 ,FIBROMYOCYTES            ,0.03346070647239685
SMG DUCT                 ,CLUB                     ,0.033441755920648575
MIGRATORY DCS            ,ALVEOLAR EPITHELIAL TYPE 1,0.03342726081609726
AT1                      ,PROLIFERATING NK/T       ,0.033423975110054016
BASOPHIL/MAST            ,RARE                     ,0.03339935094118118
AT2 PROLIFERATING        ,NON CLASSICAL MONOCYTES  ,0.03339676931500435
TREM2+ DENDRITIC         ,FIBROMYOCYTES            ,0.033388856798410416
PERICYTE                 ,PROLIFERATING BASAL      ,0.03337491303682327
PROXIMAL CILIATED        ,OLR1+ CLASSICAL MONOCYTE ,0.03337318077683449
NATURAL KILLER           ,ALVEOLAR MΦ PROLIFERATING,0.033370617777109146
SMG DUCT                 ,MONOCYTE DERIVED MΦ      ,0.03336057811975479
POSITIVE                 ,VEIN                     ,0.03335661441087723
SUBMUCOSAL GLAND         ,INTERSTITIAL MΦ PERIVASCULAR,0.03334768861532211
CAPILLARY AEROCYTE       ,EREG+ DENDRITIC          ,0.03334473818540573
AT1                      ,BASOPHIL/MAST 2          ,0.03333150967955589
PLATELET/MEGAKARYOCYTE   ,ALVEOLAR MACROPHAGES     ,0.03333060070872307
CILIATED                 ,CAPILLARY INTERMEDIATE   ,0.03332990035414696
SMG DUCT                 ,PLASMACYTOID DCS         ,0.033327989280223846
SUBMUCOSAL GLAND         ,B                        ,0.033325985074043274
PROLIFERATING BASAL      ,FIBROBLASTS              ,0.03329887241125107
AT2 PROLIFERATING        ,T CELL LINEAGE           ,0.033289115875959396
DENDRITIC                ,FIBROMYOCYTES            ,0.033285997807979584
MESOTHELIAL              ,T CELL LINEAGE           ,0.03328530862927437
INTERSTITIAL MΦ PERIVASCULAR,GOBLET (BRONCHIAL)       ,0.03327585756778717
IONOCYTE                 ,BASAL                    ,0.03327478468418121
AT1                      ,EPITHELIAL               ,0.033274635672569275
INTERSTITIAL MACROPHAGES ,CAPILLARY AEROCYTE       ,0.03327415883541107
ALVEOLAR MΦ PROLIFERATING,VEIN                     ,0.033261898905038834
POSITIVE                 ,BASOPHIL/MAST 2          ,0.033258140087127686
IONOCYTE                 ,IMMUNE                   ,0.03324821591377258
DC1                      ,SMG SEROUS (BRONCHIAL)   ,0.03324335068464279
MYOFIBROBLAST            ,ARTERY                   ,0.03323790431022644
PROLIFERATING BASAL      ,CD4+ NAIVE T             ,0.03321182355284691
INTERSTITIAL MACROPHAGES ,AIRWAY SMOOTH MUSCLE     ,0.03319152072072029
MYELOID                  ,GOBLET (BRONCHIAL)       ,0.033189427107572556
TREM2+ DENDRITIC         ,EC CAPILLARY             ,0.03318542242050171
ALVEOLAR MΦ PROLIFERATING,CLUB (NASAL)             ,0.033185411244630814
BLOOD VESSELS            ,MULTICILIATED            ,0.03317759558558464
PLASMA CELLS             ,CAPILLARY                ,0.03315640240907669
LIPOFIBROBLAST           ,AIRWAY EPITHELIUM        ,0.033153533935546875
SMG MUCOUS               ,FIBROBLASTS              ,0.033144596964120865
MONOCYTES                ,NATURAL KILLER           ,0.033133577555418015
IONOCYTE                 ,NATURAL KILLER           ,0.0331285260617733
IGSF21+ DENDRITIC        ,CLASSICAL MONOCYTE       ,0.033126458525657654
MULTICILIATED (NASAL)    ,SUBMUCOSAL SECRETORY     ,0.03312142565846443
SM ACTIVATED STRESS RESPONSE,BASOPHIL/MAST            ,0.03310370072722435
MONOCYTES                ,INTERSTITIAL MACROPHAGES ,0.03310178220272064
VEIN                     ,IONOCYTE                 ,0.0330970399081707
PLASMA CELLS             ,ALVEOLAR MΦ CCL3+        ,0.033083003014326096
PLATELET/MEGAKARYOCYTE   ,B CELL LINEAGE           ,0.033076729625463486
ALVEOLAR MΦ CCL3+        ,PROXIMAL BASAL           ,0.03307107836008072
INTERSTITIAL MACROPHAGES ,IONOCYTE                 ,0.03306844085454941
SMG DUCT                 ,CD4+ NAIVE T             ,0.03305759280920029
AT1                      ,T CELL LINEAGE           ,0.03305230662226677
CAPILLARY AEROCYTE       ,LYMPHOID                 ,0.033044587820768356
CAPILLARY INTERMEDIATE   ,DENDRITIC CELLS          ,0.03302884101867676
ARTERY                   ,CAPILLARY INTERMEDIATE 2 ,0.033028073608875275
PROXIMAL BASAL           ,ARTERY                   ,0.0330180749297142
MESOTHELIAL              ,MAST CELLS               ,0.03301413357257843
SECRETORY                ,SUPRABASAL               ,0.03301222249865532
SMG SEROUS (BRONCHIAL)   ,DIFFERENTIATING BASAL    ,0.03301030397415161
CLUB (NON_NASAL)         ,MACROPHAGE               ,0.03300851583480835
SECRETORY                ,CILIATED                 ,0.032996512949466705
GOBLET (BRONCHIAL)       ,CLASSICAL MONOCYTE       ,0.032994989305734634
SMG SEROUS (NASAL)       ,MYELOID DENDRITIC TYPE 2 ,0.03299478068947792
INTERSTITIAL MΦ PERIVASCULAR,NON CLASSICAL MONOCYTES  ,0.03296468406915665
MYELOID                  ,LYMPHATIC                ,0.032963257282972336
PROXIMAL BASAL           ,DENDRITIC CELLS          ,0.032953981310129166
SUPRABASAL               ,IONOCYTE                 ,0.03295186907052994
IONOCYTE                 ,T CELLS PROLIFERATING    ,0.032949209213256836
MYELOID DENDRITIC TYPE 2 ,B                        ,0.03293956071138382
AIRWAY SMOOTH MUSCLE     ,SEROUS                   ,0.03292994201183319
LIPOFIBROBLAST           ,MULTICILIATED (NASAL)    ,0.032925546169281006
PROLIFERATING BASAL      ,CD4 T CELLS              ,0.03292024880647659
CLASSICAL MONOCYTES      ,SM ACTIVATED STRESS RESPONSE,0.03290858864784241
SMG DUCT                 ,T CELLS PROLIFERATING    ,0.03290429338812828
INTERSTITIAL MΦ PERIVASCULAR,PLASMACYTOID DCS         ,0.03289186209440231
CLASSICAL MONOCYTE       ,SMG MUCOUS               ,0.03288374841213226
MESOTHELIAL              ,CLUB (NON_NASAL)         ,0.03287491947412491
GOBLET (BRONCHIAL)       ,MESOTHELIUM              ,0.032859429717063904
LIPOFIBROBLAST           ,T CELL LINEAGE           ,0.032848965376615524
MYELOID                  ,CAPILLARY INTERMEDIATE 2 ,0.03284738212823868
PLATELET/MEGAKARYOCYTE   ,SUBPLEURAL FIBROBLASTS   ,0.032841552048921585
MULTICILIATED            ,BASOPHIL/MAST            ,0.03283208608627319
ARTERY                   ,GOBLET (BRONCHIAL)       ,0.032827865332365036
MESOTHELIAL              ,MYELOID                  ,0.032823268324136734
CLASSICAL MONOCYTES      ,BASOPHIL/MAST            ,0.03282126039266586
SMG MUCOUS               ,ALVEOLAR FIBROBLAST      ,0.03281610831618309
INTERSTITIAL MΦ PERIVASCULAR,EC ARTERIAL              ,0.03281495347619057
SMG MUCOUS               ,MUCOUS                   ,0.03279990330338478
DC2                      ,LYMPHOID                 ,0.03279561176896095
SMG SEROUS (NASAL)       ,MONOCYTE DERIVED MΦ      ,0.03279406577348709
SECRETORY                ,SMG DUCT                 ,0.032791007310152054
PLASMA                   ,PROLIFERATING BASAL      ,0.03278592973947525
PLATELET/MEGAKARYOCYTE   ,SUBMUCOSAL GLAND         ,0.032777100801467896
CLUB (NON_NASAL)         ,B CELL LINEAGE           ,0.032774053514003754
GOBLET (BRONCHIAL)       ,SMG SEROUS               ,0.0327671580016613
GOBLET (BRONCHIAL)       ,PROLIFERATING MACROPHAGE ,0.03276529535651207
AT1                      ,ALVEOLAR FIBROBLASTS     ,0.03276447951793671
SM ACTIVATED STRESS RESPONSE,CAPILLARY                ,0.03276298567652702
ALVEOLAR MΦ CCL3+        ,TREM2+ DENDRITIC         ,0.03275135159492493
CILIATED                 ,FIBROBLAST               ,0.03274807706475258
MACROPHAGE               ,FIBROBLAST               ,0.03274678811430931
MONOCYTES                ,MACROPHAGES              ,0.032745279371738434
SECRETORY                ,MYELOID DENDRITIC TYPE 2 ,0.03274301066994667
LIPOFIBROBLAST           ,GOBLET (SUBSEGMENTAL)    ,0.03274174779653549
TREM2+ DENDRITIC         ,LYMPHATIC EC DIFFERENTIATING,0.032731108367443085
AT1                      ,LYMPHATIC EC             ,0.032727066427469254
IGSF21+ DENDRITIC        ,ENDOTHELIAL              ,0.03272304683923721
EREG+ DENDRITIC          ,MULTICILIATED            ,0.032722264528274536
MONOCYTES                ,MACROPHAGE               ,0.03272120654582977
AT1                      ,T CELLS PROLIFERATING    ,0.032717861235141754
CLASSICAL MONOCYTES      ,SMG MUCOUS               ,0.03270446136593819
MACROPHAGE               ,LYMPHATIC EC DIFFERENTIATING,0.03269986808300018
EC ARTERIAL              ,BASOPHIL/MAST 1          ,0.03269007429480553
MYELOID                  ,NON CLASSICAL MONOCYTES  ,0.03268953040242195
GOBLET (BRONCHIAL)       ,VASCULAR SMOOTH MUSCLE   ,0.032681673765182495
IGSF21+ DENDRITIC        ,TRANSITIONAL CLUB AT2    ,0.032669223845005035
ALVEOLAR EPITHELIUM      ,PLATELET/MEGAKARYOCYTE   ,0.03266498073935509
CLUB (NON_NASAL)         ,AT2 PROLIFERATING        ,0.032659027725458145
INTERSTITIAL MACROPHAGES ,ALVEOLAR EPITHELIAL TYPE 2,0.03265402466058731
SUPRABASAL               ,PROXIMAL CILIATED        ,0.03264956176280975
RARE                     ,MULTICILIATED            ,0.03264814615249634
CILIATED                 ,LYMPHATIC EC MATURE      ,0.032647572457790375
CILIATED                 ,SECRETORY                ,0.0326387956738472
SMG MUCOUS               ,CAPILLARY                ,0.03262734040617943
MACROPHAGE               ,IMMUNE                   ,0.032619234174489975
SECRETORY                ,SUBMUCOSAL SECRETORY     ,0.03261636197566986
ARTERY                   ,SUBPLEURAL FIBROBLASTS   ,0.032607585191726685
GOBLET (BRONCHIAL)       ,PROXIMAL BASAL           ,0.03260074928402901
MONOCYTES                ,GOBLET (BRONCHIAL)       ,0.03258947655558586
PROLIFERATING BASAL      ,ALVEOLAR FIBROBLASTS     ,0.0325687974691391
TREM2+ DENDRITIC         ,MONOCYTE DERIVED MΦ      ,0.03256094083189964
ALVEOLAR MΦ PROLIFERATING,CD4+ NAIVE T             ,0.032558176666498184
B                        ,IMMUNE                   ,0.03255118802189827
SMG DUCT                 ,OLR1+ CLASSICAL MONOCYTE ,0.032550543546676636
TREM2+ DENDRITIC         ,EC VENOUS                ,0.03254595771431923
CLASSICAL MONOCYTES      ,LYMPHATIC EC MATURE      ,0.03253330662846565
SMG SEROUS               ,GOBLET (BRONCHIAL)       ,0.03250333294272423
SECRETORY                ,NATURAL KILLER           ,0.03250030428171158
MULTICILIATED LINEAGE    ,MESOTHELIAL              ,0.03247363120317459
MONOCYTES                ,ALVEOLAR MACROPHAGES     ,0.032472845166921616
SUPRABASAL               ,MESOTHELIAL              ,0.03247074410319328
DC2                      ,ALVEOLAR EPITHELIAL TYPE 1,0.03246232867240906
ALVEOLAR MΦ PROLIFERATING,CLUB (NON_NASAL)         ,0.03246178850531578
ALVEOLAR MΦ CCL3+        ,ALVEOLAR MΦ PROLIFERATING,0.03245934471487999
SUPRABASAL               ,ALVEOLAR EPITHELIAL TYPE 1,0.0324585847556591
POSITIVE                 ,B CELLS                  ,0.03245430439710617
PROXIMAL CILIATED        ,B CELLS                  ,0.032451361417770386
IGSF21+ DENDRITIC        ,EC VENOUS SYSTEMIC       ,0.032449908554553986
IONOCYTE                 ,PERICYTES                ,0.03244990110397339
IONOCYTE                 ,NON CLASSICAL MONOCYTES  ,0.03244052827358246
AT1                      ,ALVEOLAR EPITHELIUM      ,0.032408613711595535
ARTERY                   ,SECRETORY                ,0.0324077345430851
SMG SEROUS (NASAL)       ,ADVENTITIAL FIBROBLASTS  ,0.03240259364247322
SMG SEROUS (NASAL)       ,PLASMA                   ,0.032400619238615036
AT1                      ,SIGNALING ALVEOLAR EPITHELIAL TYPE 2,0.032399147748947144
SMG DUCT                 ,CD14+ MONOCYTE           ,0.032390791922807693
MONOCYTE DERIVED MΦ      ,LYMPHOID                 ,0.032383982092142105
DENDRITIC CELLS          ,CAPILLARY AEROCYTE       ,0.03237365558743477
POSITIVE                 ,AT1                      ,0.03236648440361023
MONOCYTES                ,DENDRITIC                ,0.03236597403883934
PROXIMAL CILIATED        ,CLUB (NASAL)             ,0.03236277773976326
PROLIFERATING BASAL      ,ALVEOLAR MΦ CCL3+        ,0.032347191125154495
ALVEOLAR MΦ CCL3+        ,ALVEOLAR FIBROBLAST      ,0.032337699085474014
CAPILLARY INTERMEDIATE   ,ALVEOLAR MΦ PROLIFERATING,0.03233500197529793
PLASMA CELLS             ,AIRWAY SMOOTH MUSCLE     ,0.0323309488594532
SMG DUCT                 ,LYMPHATIC EC PROLIFERATING,0.032298509031534195
SUBMUCOSAL GLAND         ,BASOPHIL/MAST            ,-0.032284416258335114
CILIATED                 ,LYMPHATIC EC DIFFERENTIATING,0.03228404372930527
CD14+ MONOCYTE           ,IONOCYTE                 ,0.03225519880652428
ALVEOLAR MΦ PROLIFERATING,MACROPHAGE               ,0.03225410357117653
AIRWAY SMOOTH MUSCLE     ,IMMUNE                   ,0.0322507806122303
ALVEOLAR MΦ PROLIFERATING,NON CLASSICAL MONOCYTES  ,0.03224977105855942
SUBMUCOSAL GLAND         ,GOBLET (NASAL)           ,0.032243724912405014
IONOCYTE                 ,MONOCYTE DERIVED MΦ      ,0.03221239522099495
MESOTHELIAL              ,EC VENOUS PULMONARY      ,0.0322062224149704
TREM2+ DENDRITIC         ,PROXIMAL CILIATED        ,0.032205965369939804
PROXIMAL CILIATED        ,ADVENTITIAL FIBROBLASTS  ,0.03219496086239815
DC2                      ,ALVEOLAR MΦ CCL3+        ,0.03219129145145416
DENDRITIC CELLS          ,ALVEOLAR MΦ PROLIFERATING,0.03218938782811165
ALVEOLAR MΦ PROLIFERATING,SIGNALING ALVEOLAR EPITHELIAL TYPE 2,0.03217750042676926
POSITIVE                 ,CLASSICAL MONOCYTE       ,0.032175250351428986
SMG SEROUS (BRONCHIAL)   ,CD4+ NAIVE T             ,0.03216187283396721
SMG DUCT                 ,MULTICILIATED (NON_NASAL),0.03214253857731819
ALVEOLAR MΦ PROLIFERATING,AT2                      ,0.03213738650083542
SECRETORY                ,B CELL LINEAGE           ,0.03213519603013992
SMG SEROUS (BRONCHIAL)   ,CAPILLARY INTERMEDIATE   ,0.032128166407346725
CAPILLARY                ,CAPILLARY AEROCYTE       ,0.03212534263730049
TREM2+ DENDRITIC         ,BRONCHIAL VESSEL         ,0.03210008889436722
INTERSTITIAL MΦ PERIVASCULAR,CD14+ MONOCYTE           ,0.03209121152758598
MULTICILIATED (NASAL)    ,PROLIFERATING MACROPHAGE ,0.03208821639418602
PLATELET/MEGAKARYOCYTE   ,BASOPHIL/MAST            ,0.03208811581134796
CAPILLARY INTERMEDIATE 2 ,ALVEOLAR EPITHELIAL TYPE 1,0.032087747007608414
TREM2+ DENDRITIC         ,NK CELLS                 ,0.03206915780901909
CD14+ MONOCYTE           ,ALVEOLAR EPITHELIAL TYPE 1,0.03206811845302582
PLATELET/MEGAKARYOCYTE   ,BASAL                    ,0.032067008316516876
ALVEOLAR MΦ PROLIFERATING,FIBROMYOCYTES            ,0.032065946608781815
IGSF21+ DENDRITIC        ,NATURAL KILLER T         ,0.03206454962491989
CILIATED                 ,VASCULAR SMOOTH MUSCLE   ,0.03205322474241257
POSITIVE                 ,INTERSTITIAL MACROPHAGES ,0.03205215558409691
GOBLET (SUBSEGMENTAL)    ,SMG MUCOUS               ,0.032046400010585785
CILIATED                 ,PLASMACYTOID DENDRITIC   ,0.03204518184065819
SMG SEROUS (NASAL)       ,BASOPHIL/MAST 2          ,0.03204436972737312
LYMPHATIC EC MATURE      ,RARE                     ,0.03203878924250603
DENDRITIC                ,NATURAL KILLER T         ,0.03203568235039711
PROXIMAL CILIATED        ,CLUB                     ,0.03203418105840683
PLASMACYTOID DENDRITIC   ,SMG MUCOUS               ,0.032033201307058334
MESOTHELIAL              ,AT2                      ,0.03202858567237854
CLASSICAL MONOCYTE       ,CILIATED                 ,0.032020363956689835
POSITIVE                 ,MYELOID DENDRITIC TYPE 1 ,0.032017044723033905
MULTICILIATED            ,DEUTEROSOMAL             ,0.032017000019550323
DIFFERENTIATING BASAL    ,MESOTHELIAL              ,0.03196266293525696
PROLIFERATING BASAL      ,CLUB (NASAL)             ,0.03195140138268471
IGSF21+ DENDRITIC        ,EC VENOUS                ,0.03193284198641777
DENDRITIC                ,AT2                      ,0.03192755579948425
CILIATED                 ,AT1                      ,0.03191482648253441
MULTICILIATED (NASAL)    ,MESOTHELIAL              ,0.03190866485238075
INTERSTITIAL MACROPHAGES ,IMMUNE                   ,0.03189776837825775
ALVEOLAR MΦ PROLIFERATING,INTERMEDIATE MONOCYTE    ,0.03189477697014809
ALVEOLAR MΦ CCL3+        ,POSITIVE                 ,0.03188600018620491
LIPOFIBROBLAST           ,FIBROBLASTS              ,0.031882695853710175
MYELOID DENDRITIC TYPE 2 ,DEUTEROSOMAL             ,0.031881701201200485
MACROPHAGES              ,CLUB (NON_NASAL)         ,0.03187822923064232
TREM2+ DENDRITIC         ,DC1                      ,0.03187587112188339
CILIATED                 ,MONOCYTES                ,0.03186803311109543
PROLIFERATING BASAL      ,CLUB (NON_NASAL)         ,0.031857285648584366
POSITIVE                 ,MAST CELLS               ,0.03184768930077553
NATURAL KILLER T         ,DEUTEROSOMAL             ,0.031835414469242096
TREM2+ DENDRITIC         ,CLUB (NASAL)             ,0.03182338923215866
INTERSTITIAL MΦ PERIVASCULAR,AIRWAY SMOOTH MUSCLE     ,0.031809888780117035
SM ACTIVATED STRESS RESPONSE,RARE                     ,0.03180510178208351
SUPRABASAL               ,PLASMA CELLS             ,0.03180018439888954
ALVEOLAR MΦ PROLIFERATING,LYMPHATIC EC             ,0.03178967908024788
ARTERY                   ,CAPILLARY AEROCYTE       ,0.03178532421588898
PLATELET/MEGAKARYOCYTE   ,SMG SEROUS               ,0.03177525848150253
AT1                      ,SMOOTH MUSCLE            ,0.0317678302526474
PLASMACYTOID DCS         ,MESOTHELIAL              ,0.03176312893629074
SM ACTIVATED STRESS RESPONSE,DEUTEROSOMAL             ,0.03176112100481987
SUBMUCOSAL GLAND         ,DC2                      ,0.031756024807691574
CLUB (NON_NASAL)         ,CILIATED                 ,0.031751733273267746
POSITIVE                 ,SMG SEROUS (NASAL)       ,0.0317513644695282
MONOCYTES                ,PROXIMAL CILIATED        ,0.03173630312085152
SUBMUCOSAL GLAND         ,MESOTHELIAL              ,0.031733542680740356
INTERSTITIAL MΦ PERIVASCULAR,MACROPHAGES              ,0.031697213649749756
DC1                      ,MACROPHAGE               ,0.03169233724474907
BASOPHIL/MAST 2          ,CAPILLARY AEROCYTE       ,0.03169195353984833
DENDRITIC                ,GOBLET (NASAL)           ,0.0316808745265007
IONOCYTE                 ,CD14+ MONOCYTE           ,0.03168085590004921
DEUTEROSOMAL             ,ALVEOLAR FIBROBLAST      ,0.03165161982178688
SECRETORY                ,SMG MUCOUS               ,0.03164975345134735
ALVEOLAR MΦ PROLIFERATING,GOBLET (SUBSEGMENTAL)    ,0.03164919465780258
IMMUNE                   ,NEUROENDOCRINE           ,0.03164117410778999
LYMPHATIC EC DIFFERENTIATING,BLOOD VESSELS            ,0.031639568507671356
SMG SEROUS (BRONCHIAL)   ,MUCOUS                   ,0.031636230647563934
MYOFIBROBLAST            ,IGSF21+ DENDRITIC        ,0.031632035970687866
NON CLASSICAL MONOCYTES  ,ALVEOLAR MΦ CCL3+        ,0.031622037291526794
LYMPHATIC EC DIFFERENTIATING,RARE                     ,0.031606338918209076
CILIATED                 ,MAST CELLS               ,0.0316045768558979
SECRETORY                ,IGSF21+ DENDRITIC        ,0.03160325810313225
SMG DUCT                 ,MIGRATORY DCS            ,0.03160005807876587
SMG SEROUS (NASAL)       ,FIBROBLAST LINEAGE       ,0.031596194952726364
TREM2+ DENDRITIC         ,CAPILLARY INTERMEDIATE 1 ,0.03159478306770325
IGSF21+ DENDRITIC        ,CD8+ MEMORY/EFFECTOR T   ,0.031589049845933914
CLASSICAL MONOCYTES      ,CAPILLARY                ,0.03158193826675415
BLOOD VESSELS            ,NEUROENDOCRINE           ,0.031580958515405655
MESOTHELIAL              ,MACROPHAGES              ,0.031574808061122894
PROXIMAL CILIATED        ,EPITHELIAL               ,0.03157448396086693
AT1                      ,AT2                      ,0.03157123923301697
INTERSTITIAL MΦ PERIVASCULAR,SEROUS                   ,0.031568869948387146
IGSF21+ DENDRITIC        ,B CELL LINEAGE           ,0.03155600652098656
CILIATED                 ,INTERSTITIAL MΦ PERIVASCULAR,0.03155280649662018
PLATELET/MEGAKARYOCYTE   ,PLASMACYTOID DCS         ,0.03154074400663376
AT2 PROLIFERATING        ,MULTICILIATED (NON_NASAL),0.03154045715928078
DENDRITIC                ,EC CAPILLARY             ,0.031529974192380905
AT2 PROLIFERATING        ,LYMPHATIC EC             ,0.031525447964668274
MACROPHAGE               ,CAPILLARY AEROCYTE       ,0.03151337057352066
VEIN                     ,BLOOD VESSELS            ,0.03150889277458191
SECRETORY                ,PLASMACYTOID DENDRITIC   ,0.03149614483118057
PROXIMAL BASAL           ,POSITIVE                 ,0.031487900763750076
CAPILLARY AEROCYTE       ,BASOPHIL/MAST            ,0.03148166462779045
SUBMUCOSAL GLAND         ,SUBPLEURAL FIBROBLASTS   ,0.031477492302656174
FIBROBLAST               ,BASOPHIL/MAST 1          ,0.03145698457956314
SECRETORY                ,BASAL RESTING            ,0.03145364671945572
SUBMUCOSAL GLAND         ,IMMUNE                   ,0.03144104778766632
MACROPHAGES              ,CAPILLARY AEROCYTE       ,0.03143235296010971
INTERSTITIAL MACROPHAGES ,LYMPHATIC EC MATURE      ,0.03141951560974121
POSITIVE                 ,ADVENTITIAL FIBROBLASTS  ,0.03140707686543465
SMG SEROUS (NASAL)       ,EREG+ DENDRITIC          ,-0.0313994437456131
IGSF21+ DENDRITIC        ,STROMA                   ,0.03137890249490738
SMG SEROUS (BRONCHIAL)   ,SMG SEROUS (NASAL)       ,0.031375400722026825
DENDRITIC                ,MACROPHAGES              ,0.031373802572488785
VEIN                     ,CAPILLARY                ,0.03137136623263359
DC2                      ,CAPILLARY                ,0.031361036002635956
NON CLASSICAL MONOCYTES  ,PLATELET/MEGAKARYOCYTE   ,0.031360674649477005
SUBMUCOSAL GLAND         ,NON CLASSICAL MONOCYTES  ,0.03136059269309044
MESOTHELIAL              ,CAPILLARY INTERMEDIATE   ,0.03134387731552124
TREM2+ DENDRITIC         ,MYELOID DENDRITIC TYPE 1 ,0.03133201599121094
TREM2+ DENDRITIC         ,ALVEOLAR EPITHELIAL TYPE 2,0.031323593109846115
SMG DUCT                 ,T CELL LINEAGE           ,0.031320247799158096
DENDRITIC                ,EC VENOUS SYSTEMIC       ,0.03131898120045662
SEROUS                   ,OLR1+ CLASSICAL MONOCYTE ,0.031316474080085754
DENDRITIC                ,MYOFIBROBLAST            ,0.031314972788095474
ALVEOLAR MΦ CCL3+        ,SECRETORY                ,0.031306635588407516
LIPOFIBROBLAST           ,LYMPHATIC EC DIFFERENTIATING,0.03130536526441574
MULTICILIATED (NON_NASAL),PLATELET/MEGAKARYOCYTE   ,0.03130281716585159
PLASMACYTOID DENDRITIC   ,PLATELET/MEGAKARYOCYTE   ,0.031291037797927856
POSITIVE                 ,BRONCHIAL VESSEL 2       ,0.03129058703780174
SMG DUCT                 ,PROXIMAL BASAL           ,0.03128186985850334
POSITIVE                 ,STROMA                   ,0.031272679567337036
SMG SEROUS (NASAL)       ,SMG SEROUS               ,0.031265996396541595
TREM2+ DENDRITIC         ,MULTICILIATED            ,0.031261902302503586
SMG MUCOUS               ,LYMPHOID                 ,0.031261637806892395
DC1                      ,IGSF21+ DENDRITIC        ,0.031241392716765404
AT2 PROLIFERATING        ,LYMPHATIC EC PROLIFERATING,0.031238336116075516
NATURAL KILLER           ,SMG MUCOUS               ,0.031224511563777924
CILIATED                 ,SUBMUCOSAL GLAND         ,0.031216934323310852
CLASSICAL MONOCYTE       ,POSITIVE                 ,0.031206896528601646
SMOOTH MUSCLE            ,PROLIFERATING BASAL      ,0.031202444806694984
DENDRITIC CELLS          ,ALVEOLAR FIBROBLAST      ,0.03120036981999874
INTERSTITIAL MACROPHAGES ,LIPOFIBROBLAST           ,0.031199758872389793
GOBLET (SUBSEGMENTAL)    ,MONOCYTES                ,0.031191769987344742
PLATELET/MEGAKARYOCYTE   ,PROXIMAL BASAL           ,0.031185170635581017
MONOCYTES                ,NONCLASSICAL MONOCYTE    ,0.031180085614323616
TREM2+ DENDRITIC         ,ADVENTITIAL FIBROBLAST   ,0.031155338510870934
MULTICILIATED (NASAL)    ,MYELOID DENDRITIC TYPE 2 ,0.03115297295153141
IONOCYTE                 ,ADVENTITIAL FIBROBLASTS  ,0.031143097206950188
AIRWAY SMOOTH MUSCLE     ,ALVEOLAR MΦ PROLIFERATING,0.031137997284531593
PLASMA                   ,PROXIMAL CILIATED        ,0.031127043068408966
SECRETORY                ,INTERSTITIAL MΦ PERIVASCULAR,0.03110945038497448
LYMPHOID                 ,FIBROBLAST               ,0.031108660623431206
IONOCYTE                 ,CAPILLARY                ,0.031106609851121902
SMG DUCT                 ,CD4 T                    ,0.031103165820240974
PROXIMAL BASAL           ,B                        ,0.031098002567887306
SUBMUCOSAL GLAND         ,EREG+ DENDRITIC          ,-0.031093426048755646
CILIATED                 ,CD16+ MONOCYTE           ,0.031081372871994972
TREM2+ DENDRITIC         ,BASAL                    ,0.031079674139618874
IONOCYTE                 ,BASAL RESTING            ,0.031057344749569893
AT1                      ,MULTICILIATED (NON_NASAL),0.03105456568300724
CILIATED                 ,NON CLASSICAL MONOCYTES  ,0.031053582206368446
ARTERY                   ,PROXIMAL CILIATED        ,0.031050603836774826
MONOCYTES                ,ALVEOLAR FIBROBLAST      ,0.031039614230394363
SMG SEROUS (BRONCHIAL)   ,NON CLASSICAL MONOCYTES  ,0.031039416790008545
AT1                      ,ADVENTITIAL FIBROBLAST   ,0.031031398102641106
B                        ,ARTERY                   ,0.031028777360916138
SECRETORY                ,CAPILLARY INTERMEDIATE 2 ,0.03102302737534046
CAPILLARY INTERMEDIATE 2 ,CAPILLARY INTERMEDIATE   ,0.031020302325487137
SMG DUCT                 ,BASOPHIL/MAST 2          ,0.031014669686555862
PLASMA                   ,BASOPHIL/MAST 1          ,-0.031014420092105865
ALVEOLAR MACROPHAGES     ,SMG MUCOUS               ,0.0310085229575634
BASOPHIL/MAST            ,MULTICILIATED            ,0.030999967828392982
POSITIVE                 ,NON CLASSICAL MONOCYTES  ,0.03099416196346283
ALVEOLAR FIBROBLAST      ,LYMPHOID                 ,0.03098650835454464
GOBLET (BRONCHIAL)       ,SECRETORY                ,0.030985653400421143
TREM2+ DENDRITIC         ,EC GENERAL CAPILLARY     ,0.03097977675497532
ALVEOLAR MΦ CCL3+        ,LYMPHATIC EC DIFFERENTIATING,0.030970361083745956
ALVEOLAR FIBROBLAST      ,PROLIFERATING BASAL      ,0.030951760709285736
ALVEOLAR MΦ CCL3+        ,AT2 PROLIFERATING        ,0.030950646847486496
